full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
José Manuel Flores Moreno,31,Premier League,2013/2014,Defender,Swansea City,2691,1358,1333,Spain,31,16,14,3,2,1,0,0,0,0,0,8,6,2,42,18,24,8,2,0.1,0,0.1,0.13,0.07,897,1.4,64,87,299,0,0.3,160,407,109,5
Ben Davies,25,Premier League,2013/2014,Defender,Swansea City,2873,1581,1292,Wales,34,18,14,2,1,1,1,0,1,0,0,7,5,2,43,23,20,3,0,0.09,0.03,0.06,0.06,0.07,1437,1.35,67,85,958,2873,0.09,216,247,94,7
Wayne Routledge,33,Premier League,2013/2014,Midfielder,Swansea City,2702,1426,1276,England,35,17,15,2,2,0,4,2,2,0,0,8,6,2,41,19,22,2,0,0.2,0.13,0.07,0.13,0,1351,1.37,66,77,1351,676,0.07,187,113,-1,8
Nathan Dyer,30,Premier League,2013/2014,Midfielder,Swansea City,1749,913,836,England,27,9,10,6,3,3,2,1,1,0,0,7,6,1,27,10,17,1,0,0.41,0.1,0.31,0.3,0.32,292,1.39,65,65,1749,875,0.05,49,135,-1,3
Leon Britton,36,Premier League,2013/2014,Midfielder,Swansea City,2023,1209,814,England,25,14,9,0,0,0,1,1,0,0,0,6,5,1,30,14,16,2,0,0.04,0.04,0,0,0,0,1.33,67,81,1012,2023,0.09,412,222,-1,22
Jonjo Shelvey,26,Premier League,2013/2014,Midfielder,Swansea City,2477,1101,1376,England,32,13,16,6,4,2,6,6,0,0,0,5,3,2,38,15,23,4,0,0.44,0.22,0.22,0.33,0.13,413,1.38,65,77,619,413,0.15,85,51,-1,2
José Alberto Cañas Ruiz Herrera,31,Premier League,2013/2014,Midfielder,Swansea City,1666,678,988,Spain,23,7,12,0,0,0,0,0,0,0,0,4,2,2,28,13,15,5,0,0,0,0,0,0,0,1.51,60,72,333,0,0.27,413,408,-1,21
Miguel Pérez Cuesta,32,Premier League,2013/2014,Forward,Swansea City,1289,640,649,Spain,17,7,8,2,1,1,2,1,1,0,0,5,3,2,15,9,6,2,0,0.28,0.14,0.14,0.14,0.14,645,1.05,86,76,645,645,0.14,133,105,-1,9
Wilfried Guemiand Bony,29,Premier League,2013/2014,Forward,Swansea City,2467,1273,1194,Côte d'Ivoire,34,14,13,17,10,7,4,3,1,4,0,6,5,1,38,17,21,4,0,0.77,0.15,0.62,0.71,0.53,145,1.39,65,73,617,617,0.15,9,92,-1,1
Pablo Hernández Domínguez,33,Premier League,2013/2014,Midfielder,Swansea City,1428,651,777,Spain,27,9,8,2,1,1,7,3,4,0,0,6,5,1,17,6,11,2,0,0.57,0.44,0.13,0.14,0.12,714,1.07,84,53,714,204,0.13,138,2,-1,6
Sung-Yeung Ki,29,Premier League,2013/2014,Midfielder,Sunderland,2199,1247,952,South Korea,28,14,11,3,0,3,1,0,1,1,0,8,4,4,39,22,17,3,0,0.16,0.04,0.12,0,0.28,733,1.6,56,79,733,2199,0.12,142,224,-1,7
Jordi Amat,26,Premier League,2013/2014,Defender,Swansea City,1245,642,603,Spain,17,6,7,0,0,0,0,0,0,0,0,2,2,0,20,10,10,3,0,0,0,0,0,0,0,1.45,62,73,415,0,0.22,402,409,123,20
Neil Taylor,29,Premier League,2013/2014,Defender,Swansea City,589,156,433,Wales,10,1,5,0,0,0,1,0,1,0,0,3,3,0,7,0,7,1,0,0.15,0.15,0,0,0,0,1.07,84,59,589,589,0.15,414,96,41,19
Alejandro Pozuelo Melero,27,Premier League,2013/2014,Midfielder,Swansea City,876,371,505,Spain,22,3,4,0,0,0,0,0,0,0,0,5,3,2,13,5,8,1,0,0,0,0,0,0,0,1.34,67,40,876,0,0.1,416,410,-1,18
Gerhard Tremmel,40,Premier League,2013/2014,Goalkeeper,Swansea City,1080,540,540,Germany,12,6,6,0,0,0,0,0,0,0,0,1,1,0,21,11,10,0,0,0,0,0,0,0,0,1.75,51,90,0,0,0,417,411,151,17
David de Gea,28,Premier League,2013/2014,Goalkeeper,Manchester United,3330,1710,1620,Spain,37,19,18,0,0,0,0,0,0,0,0,12,6,6,40,19,21,1,0,0,0,0,0,0,0,1.08,83,90,3330,0,0.03,418,412,42,18
Rio Ferdinand,40,Premier League,2013/2014,Defender,Manchester United,1127,543,584,England,14,6,6,0,0,0,0,0,0,0,0,5,3,2,13,5,8,0,0,0,0,0,0,0,0,1.04,87,81,0,0,0,419,413,34,23
Antonio Valencia,33,Premier League,2013/2014,Defender,Manchester United,1939,948,991,Ecuador,29,10,10,2,1,1,3,1,2,0,0,10,6,4,19,5,14,8,1,0.23,0.14,0.09,0.09,0.09,970,0.88,102,67,242,646,0.37,174,104,23,6
Nemanja Vidić,37,Premier League,2013/2014,Defender,Manchester United,2084,1091,993,Serbia,25,12,11,0,0,0,0,0,0,0,0,9,5,4,24,10,14,8,2,0,0,0,0,0,0,1.04,87,83,232,0,0.39,420,401,35,26
Patrice Evra,37,Premier League,2013/2014,Defender,Manchester United,2884,1419,1465,France,33,16,17,1,0,1,3,2,1,0,0,12,6,6,33,14,19,2,0,0.12,0.09,0.03,0,0.06,2884,1.03,87,87,1442,961,0.06,255,145,33,13
Phil Jones,26,Premier League,2013/2014,Defender,Manchester United,2175,1192,983,England,26,14,12,1,0,1,2,1,1,0,0,8,4,4,26,14,12,5,0,0.12,0.08,0.04,0,0.09,2175,1.08,84,84,435,1088,0.21,241,164,45,12
Michael Carrick,37,Premier League,2013/2014,Midfielder,Manchester United,2411,1275,1136,England,29,14,12,1,1,0,0,0,0,0,0,10,5,5,28,14,14,5,0,0.04,0,0.04,0.07,0,2411,1.05,86,83,482,0,0.19,242,414,-1,11
