full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Henri Saivet,28,Premier League,2015/2016,Forward,Newcastle United,147,33,114,Senegal,4,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,0,1.84,49,37,0,0,0,-1,-1,-1,17
Emmanuel Rivière,28,Premier League,2015/2016,Forward,Newcastle United,64,46,18,France,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2.81,32,21,0,0,0,-1,-1,-1,27
Mohamed Elneny,26,Premier League,2015/2016,Midfielder,Arsenal,794,375,419,Egypt,11,4,5,0,0,0,1,0,1,0,0,6,4,2,8,1,7,3,0,0.11,0.11,0,0,0,0,0.91,99,72,265,794,0.34,306,131,-1,14
Ivo Daniel Ferreira Mendonca Pinto,28,Premier League,2015/2016,Defender,Norwich City,810,450,360,Portugal,10,5,4,0,0,0,0,0,0,0,0,1,0,1,17,11,6,0,0,0,0,0,0,0,0,1.89,48,81,0,0,0,307,295,168,24
Timm Klose,30,Premier League,2015/2016,Defender,Norwich City,850,450,400,Switzerland,10,5,5,1,1,0,0,0,0,0,0,2,1,1,12,8,4,3,0,0.11,0,0.11,0.2,0,850,1.27,71,85,283,0,0.32,157,296,97,12
Jon Flanagan,25,Premier League,2015/2016,Defender,Liverpool,421,180,241,England,5,2,3,0,0,0,1,0,1,0,0,2,2,0,5,0,5,1,0,0.21,0.21,0,0,0,0,1.07,84,84,421,421,0.21,282,52,54,20
Dame N'Doye,33,Premier League,2015/2016,Forward,Sunderland,567,218,349,Senegal,11,2,3,1,1,0,0,0,0,0,0,1,1,0,9,3,6,2,0,0.16,0,0.16,0.41,0,567,1.43,63,52,284,0,0.32,121,298,-1,13
Nordin Amrabat,31,Premier League,2015/2016,Midfielder,Watford,500,268,232,Morocco,12,2,2,0,0,0,0,0,0,0,0,1,1,0,8,1,7,4,1,0,0,0,0,0,0,1.44,63,42,125,0,0.72,260,299,-1,9
Charlie Austin,29,Premier League,2015/2016,Forward,Southampton,208,104,104,England,7,1,1,1,0,1,0,0,0,0,0,3,1,2,2,1,1,0,0,0.43,0,0.43,0,0.87,208,0.87,104,30,0,0,0,-1,-1,-1,9
Sam Byram,25,Premier League,2015/2016,Defender,West Ham United,286,167,119,England,4,1,1,0,0,0,0,0,0,0,0,1,1,0,3,1,2,3,0,0,0,0,0,0,0,0.94,95,72,95,0,0.94,261,300,39,15
