Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Sebastian Coates,Liverpool,Defender,7,1,0,1,0,0,4,24,3,0,0,0,0,0,0,More
Adam Henley,Blackburn Rovers,Defender,7,0,0,0,0,0,4,14,3,1,0,0,0,0,0,More
 Orlando Sa,Fulham,Forward,7,1,0,0,0,0,3,12,4,2,0,0,0,0,0,More
Pajtim Kasami,Fulham,Midfielder,7,0,0,0,0,0,3,20,4,3,0,0,0,0,0,More
James McFadden,Everton,Forward,7,0,0,0,0,0,2,15,5,2,0,0,0,0,0,More
Sylvain Marveaux,Newcastle United,Midfielder,7,0,1,0,0,0,1,12,6,1,0,0,0,0,0,More
David Meyler,Sunderland,Midfielder,7,0,0,0,0,0,1,27,6,1,0,0,0,0,0,More
Giovani Dos Santos,Tottenham Hotspur,Forward,7,0,0,0,0,0,0,15,7,0,0,0,0,0,0,More
Shane Ferguson,Newcastle United,Midfielder,7,0,0,1,0,0,0,18,7,0,0,0,0,0,0,More
Ritchie de Laet,Norwich City,Defender,6,1,0,1,0,0,6,6,0,2,0,0,0,0,0,More
Nemanja Vidic,Manchester United,Defender,6,0,0,0,0,0,6,0,0,1,0,0,0,0,0,More
Robbie Keane,Aston Villa,Forward,6,3,0,0,0,0,5,1,1,1,0,0,0,0,0,More
Matthew Connolly,Queens Park Rangers,Defender,6,0,0,0,0,0,5,7,1,1,0,0,0,0,0,More
Simon Davies,Fulham,Midfielder,6,0,0,0,0,0,3,5,3,1,0,0,0,0,0,More
 Paulo Ferreira,Chelsea,Defender,6,0,0,1,0,0,3,14,3,1,0,0,0,0,0,More
Anthony Forde,Wolverhampton Wanderers,Midfielder,6,0,0,0,0,0,3,7,3,3,0,0,0,0,0,More
Ross Barkley,Everton,Midfielder,6,0,0,0,0,0,2,19,4,1,0,0,0,0,0,More
Salif Diao,Stoke City,Midfielder,6,0,0,1,0,0,2,10,4,2,0,0,0,0,0,More
Joshua McEachran,Chelsea,Midfielder,6,0,0,0,0,0,1,23,5,1,0,0,0,0,0,More
Ryan Nelsen,Tottenham Hotspur,Defender,6,0,0,0,0,0,1,13,5,0,0,0,0,0,0,More
Nathan Delfouneso,Aston Villa,Forward,6,0,0,0,0,0,1,18,5,0,0,0,0,0,0,More
