Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Lucas Digne,Everton,Defender,16,1,2,2,0,0,15,2,1,1,0,0,0,0,0,More
DeAndre Yedlin,Newcastle United,Defender,16,1,1,3,0,1,15,1,1,1,0,0,0,0,1,More
Matt Ritchie,Newcastle United,Midfielder,16,0,2,5,0,0,15,1,1,7,0,0,0,0,0,More
Mario Lemina,Southampton,Midfielder,16,0,1,5,0,0,15,1,1,2,0,0,0,0,0,More
Jonas Lossl,Huddersfield Town,Goalkeeper,16,0,0,0,0,0,15,3,1,0,0,0,0,2,0,More
Denis Odoi,Fulham,Defender,16,0,0,2,0,0,15,1,1,0,0,0,0,0,0,More
Ryan Sessegnon,Fulham,Defender,16,1,3,0,0,0,14,2,2,1,0,0,0,0,0,More
Aaron Lennon,Burnley,Midfielder,16,1,1,1,0,0,14,2,2,4,0,0,0,0,0,More
Callum Paterson,Cardiff City,Defender,16,4,0,2,0,0,13,5,3,3,0,0,0,0,0,More
 Kenedy,Newcastle United,Midfielder,16,1,1,1,0,0,13,3,3,6,0,0,1,0,0,More
Florent Hadergjonaj,Huddersfield Town,Defender,16,0,0,1,0,0,13,5,3,2,0,0,0,0,0,More
Romelu Lukaku,Manchester United,Forward,16,6,0,2,0,0,12,4,4,1,0,0,0,0,0,More
James Milner,Liverpool,Midfielder,16,3,2,2,0,0,12,5,4,4,1,0,0,0,0,More
Josh Murphy,Cardiff City,Forward,16,3,0,0,0,0,12,4,4,8,0,0,0,0,0,More
 Jota,Wolverhampton Wanderers,Midfielder,16,2,1,4,0,0,12,4,4,8,0,0,0,0,0,More
Anthony Knockaert,Brighton & Hove Albion,Midfielder,16,1,4,3,0,0,12,6,4,6,0,0,0,0,0,More
Simon Francis,AFC Bournemouth,Defender,16,0,2,1,0,0,12,5,4,0,0,0,0,0,0,More
Mateo Kovacic,Chelsea,Midfielder,16,0,1,1,0,0,12,5,4,12,0,0,0,0,0,More
Leroy Sane,Manchester City,Midfielder,16,6,7,1,0,0,11,6,5,3,0,0,0,0,0,More
 Kiko Femenia,Watford,Midfielder,16,0,1,0,0,0,11,7,5,0,0,0,0,0,0,More
 Pedro Rodriguez,Chelsea,Midfielder,16,6,1,1,0,0,10,6,6,5,0,0,0,0,0,More
Laurent Depoitre,Huddersfield Town,Forward,16,0,1,1,0,0,8,10,8,1,0,0,0,0,0,More
Yves Bissouma,Brighton & Hove Albion,Midfielder,16,0,0,3,0,0,8,10,8,4,0,0,0,0,0,More
Jeffrey Schlupp,Crystal Palace,Forward,16,3,0,1,0,0,7,11,9,4,0,0,0,0,0,More
Dominic Calvert-Lewin,Everton,Midfielder,16,3,1,2,0,0,6,12,10,2,0,0,0,0,0,More
Joshua King,AFC Bournemouth,Forward,15,5,2,1,0,0,15,0,0,10,3,0,0,0,0,More
Shane Duffy,Brighton & Hove Albion,Defender,15,4,1,3,0,1,15,0,0,0,0,0,0,0,0,More
Jose Holebas,Watford,Defender,15,3,4,7,0,0,15,1,0,1,0,0,0,0,0,More
Wilfred Zaha,Crystal Palace,Forward,15,3,1,6,0,0,15,0,0,2,0,0,0,0,0,More
James Tarkowski,Burnley,Defender,15,3,0,4,0,0,15,1,0,1,0,0,0,0,0,More
Pierre-Emile Hojbjerg,Southampton,Midfielder,15,2,1,6,1,0,15,2,0,1,0,0,0,0,0,More
Aaron Mooy,Huddersfield Town,Midfielder,15,2,0,2,0,0,15,0,0,1,0,0,0,0,0,More
Cedric Soares,Southampton,Defender,15,1,2,4,0,0,15,0,0,1,0,0,0,0,0,More
Michael Keane,Everton,Defender,15,1,2,0,0,0,15,1,0,1,0,0,0,0,0,More
Will Hughes,Watford,Midfielder,15,1,1,3,0,0,15,0,0,10,0,0,0,0,0,More
Ricardo Pereira,Leicester City,Forward,15,1,1,3,0,0,15,3,0,2,0,0,0,0,0,More
Kyle Walker,Manchester City,Defender,15,1,0,0,0,0,15,2,0,0,0,0,0,0,0,More
Terance Kongolo,Huddersfield Town,Defender,15,1,0,2,0,0,15,0,0,5,0,0,0,0,1,More
James Tomkins,Crystal Palace,Defender,15,0,1,4,0,0,15,0,0,1,0,0,0,0,0,More
Harry Arter,Cardiff City,Midfielder,15,0,0,4,0,0,15,0,0,8,0,0,0,0,0,More
Idrissa Gana Gueye,Everton,Midfielder,15,0,0,3,0,0,15,0,0,2,0,0,0,0,0,More
Declan Rice,West Ham United,Defender,15,0,0,1,0,0,15,2,0,1,0,0,0,0,0,More
Nemanja Matic,Manchester United,Midfielder,15,0,0,4,1,0,15,0,0,2,0,0,0,0,0,More
Raheem Sterling,Manchester City,Midfielder,15,9,6,1,0,0,14,4,1,6,0,0,0,0,0,More
Paul Pogba,Manchester United,Midfielder,15,3,5,2,0,0,14,3,1,4,2,0,2,0,0,More
Alex Pritchard,Huddersfield Town,Forward,15,1,0,1,0,0,14,4,1,7,0,0,0,0,0,More
Troy Deeney,Watford,Forward,15,3,1,1,0,0,13,2,2,4,1,0,0,0,0,More
Ashley R Westwood,Burnley,Midfielder,15,0,2,3,0,0,12,6,3,1,0,0,0,0,0,More
Demarai Gray,Leicester City,Midfielder,15,2,1,2,0,0,11,4,4,9,0,0,0,0,0,More
Junior Hoilett,Cardiff City,Forward,15,2,0,2,0,0,11,5,4,4,0,0,0,0,0,More
Cheikhou Kouyate,Crystal Palace,Midfielder,15,0,1,2,0,0,11,6,4,4,0,0,0,0,0,More
Marcus Rashford,Manchester United,Forward,15,4,4,2,0,1,10,6,5,8,0,0,0,0,0,More
Christian Eriksen,Tottenham Hotspur,Midfielder,15,2,6,1,0,0,10,6,5,1,0,0,0,0,0,More
Alex Iwobi,Arsenal,Forward,15,2,2,0,0,0,10,6,5,8,0,0,0,0,0,More
Matteo Guendouzi,Arsenal,Midfielder,15,0,0,4,0,0,10,7,5,3,0,0,0,0,0,More
Max Meyer,Crystal Palace,Midfielder,15,0,2,2,0,0,9,7,6,7,0,0,0,0,0,More
 Bernard,Everton,Midfielder,15,0,1,2,0,0,9,6,6,9,0,0,0,0,0,More
Andre Gray,Watford,Forward,15,3,0,1,0,0,8,7,7,7,0,0,0,0,0,More
Michail Antonio,West Ham United,Midfielder,15,2,1,2,0,0,8,8,7,4,0,0,0,0,0,More
Jordan Henderson,Liverpool,Midfielder,15,0,0,1,1,0,8,7,7,3,0,0,0,0,0,More
Aaron Ramsey,Arsenal,Midfielder,15,1,6,0,0,0,7,10,8,5,0,0,0,0,0,More
Harry Winks,Tottenham Hotspur,Midfielder,15,0,0,3,0,0,7,10,8,1,0,0,0,0,0,More
 Gabriel Jesus,Manchester City,Forward,15,3,2,0,0,0,6,12,9,3,0,0,0,0,0,More
Olivier Giroud,Chelsea,Forward,15,1,4,1,0,0,5,12,10,4,0,0,0,0,0,More
Adama Traore,Wolverhampton Wanderers,Forward,15,1,0,1,0,0,4,13,11,4,0,0,0,0,0,More
Johann Berg Gudmundsson,Burnley,Midfielder,14,2,4,2,0,0,14,0,0,4,0,0,0,0,0,More
Kieran Trippier,Tottenham Hotspur,Defender,14,1,3,2,0,0,14,0,0,3,0,0,0,0,0,More
Etienne Capoue,Watford,Midfielder,14,1,2,5,0,1,14,0,0,0,0,0,0,0,0,More
 Jonny,Wolverhampton Wanderers,Defender,14,1,0,2,0,0,14,0,0,5,0,0,0,0,0,More
Seamus Coleman,Everton,Defender,14,1,0,1,0,0,14,0,0,1,0,0,0,0,1,More
Jefferson Lerma,AFC Bournemouth,Midfielder,14,1,0,8,0,0,14,1,0,3,0,0,0,0,1,More
Pablo Zabaleta,West Ham United,Defender,14,0,1,4,0,0,14,4,0,1,0,0,0,0,0,More
Chris Lowe,Huddersfield Town,Defender,14,0,1,1,0,0,14,1,0,5,0,0,0,0,0,More
Wes Morgan,Leicester City,Defender,14,0,0,3,2,0,14,1,0,0,0,0,0,0,0,More
Davy Propper,Brighton & Hove Albion,Midfielder,14,0,0,1,0,0,14,0,0,2,0,0,0,0,0,More
Jamaal Lascelles,Newcastle United,Defender,14,0,0,1,0,0,14,1,0,2,0,0,0,0,0,More
Hugo Lloris,Tottenham Hotspur,Goalkeeper,14,0,0,0,0,0,14,0,0,0,0,0,0,3,0,More
Sergio Aguero,Manchester City,Forward,14,8,4,2,0,0,13,2,1,10,0,0,0,0,0,More
David Silva,Manchester City,Midfielder,14,5,2,1,0,0,13,2,1,9,0,0,0,0,0,More
Arthur Masuaku,West Ham United,Defender,14,0,1,1,0,0,13,4,1,1,0,0,0,0,0,More
Victor Lindelof,Manchester United,Defender,14,0,0,0,0,0,13,2,1,1,0,0,0,0,0,More
Joe Ralls,Cardiff City,Midfielder,14,0,0,2,0,1,12,3,2,3,0,0,1,0,0,More
Ben Davies,Tottenham Hotspur,Defender,14,0,0,1,0,0,12,5,2,2,0,0,0,0,0,More
Jamie Vardy,Leicester City,Forward,14,6,1,0,0,1,11,3,3,4,3,0,0,0,0,More
Kurt Zouma,Everton,Defender,14,0,1,0,0,0,11,5,3,0,0,0,0,0,0,More
Anthony Martial,Manchester United,Midfielder,14,8,0,1,0,0,10,6,4,5,1,0,0,0,0,More
Alvaro Morata,Chelsea,Forward,14,5,0,3,0,0,10,5,4,7,0,0,0,0,0,More
Jesse Lingard,Manchester United,Midfielder,14,4,1,1,0,0,10,4,4,8,1,0,0,0,0,More
Steve Mounie,Huddersfield Town,Forward,14,0,2,0,0,1,10,5,4,5,0,0,0,0,0,More
Henrikh Mkhitaryan,Arsenal,Midfielder,14,4,1,0,0,0,9,7,5,3,0,0,0,0,0,More
Jeff Hendrick,Burnley,Midfielder,14,1,0,2,0,0,9,9,5,5,0,0,0,0,0,More
Stuart Armstrong,Southampton,Forward,14,3,0,2,0,0,8,7,6,6,0,0,0,0,0,More
Naby Keita,Liverpool,Midfielder,14,0,0,0,0,0,8,7,6,6,0,0,0,0,0,More
Javier Hernandez,West Ham United,Forward,14,4,1,0,0,0,7,7,7,6,0,0,0,0,0,More
Cenk Tosun,Everton,Forward,14,2,2,1,0,0,6,12,8,5,0,0,0,0,0,More
Marouane Fellaini,Manchester United,Midfielder,14,0,1,1,0,0,6,9,8,0,0,0,0,0,0,More
Ross Barkley,Chelsea,Midfielder,14,3,3,0,0,0,5,11,9,4,0,0,0,0,0,More
Marko Arnautovic,West Ham United,Midfielder,13,5,2,3,0,0,13,0,0,7,1,0,0,0,0,More
Eric Dier,Tottenham Hotspur,Midfielder,13,2,0,3,0,0,13,2,0,4,0,0,0,0,0,More
Harry Maguire,Leicester City,Defender,13,2,0,2,0,0,13,1,0,1,0,0,0,0,0,More
Ashley Young,Manchester United,Midfielder,13,1,2,5,0,0,13,4,0,0,0,0,0,0,0,More
Luke Shaw,Manchester United,Defender,13,1,1,6,0,0,13,1,0,1,0,0,0,0,0,More
Chris Smalling,Manchester United,Defender,13,1,0,1,0,0,13,2,0,1,0,0,0,0,0,More
Mark Noble,West Ham United,Midfielder,13,0,2,3,0,1,13,2,0,8,0,0,0,0,0,More
Federico Fernandez,Newcastle United,Defender,13,0,1,2,0,0,13,2,0,1,0,0,0,0,0,More
Jonathon Hogg,Huddersfield Town,Forward,13,0,1,2,0,1,13,1,0,5,0,0,0,0,0,More
Wesley Hoedt,Southampton,Defender,13,0,0,2,0,0,13,4,0,0,0,0,0,0,2,More
Danny Ings,Southampton,Forward,13,7,1,1,0,0,12,1,1,8,3,0,0,0,0,More
Trent Alexander-Arnold,Liverpool,Defender,13,1,2,3,0,0,12,4,1,3,0,0,0,0,0,More
Christian Kabasele,Watford,Defender,13,0,0,3,1,0,12,5,1,0,0,0,0,0,0,More
Joseph Gomez,Liverpool,Defender,13,0,0,2,0,0,12,2,1,1,0,0,0,0,0,More
Matthew Lowton,Burnley,Defender,13,0,0,4,0,0,12,6,1,0,0,0,0,0,0,More
Salomon Rondon,Newcastle United,Forward,13,4,2,1,0,0,11,4,2,7,0,0,0,0,0,More
Moussa Sissoko,Tottenham Hotspur,Midfielder,13,0,1,0,0,0,11,3,2,3,0,0,0,0,0,More
Gaetan Bong,Brighton & Hove Albion,Defender,13,0,0,0,0,0,11,7,2,0,0,0,0,0,0,More
Dele Alli,Tottenham Hotspur,Midfielder,13,4,1,1,0,0,10,3,3,4,0,0,0,0,0,More
Tom Cairney,Fulham,Midfielder,13,0,1,0,0,0,10,3,3,6,0,0,0,0,0,More
Heung Min Son,Tottenham Hotspur,Midfielder,13,5,3,0,0,0,8,7,5,8,0,0,0,0,0,More
Ilkay Gundogan,Manchester City,Midfielder,13,4,2,0,0,0,8,5,5,4,0,0,0,0,0,More
Erik Durm,Huddersfield Town,Defender,13,0,1,0,0,0,8,5,5,0,0,0,0,0,0,More
Lewis Cook,AFC Bournemouth,Midfielder,13,0,0,2,0,0,8,7,5,3,0,0,0,0,0,More
Xherdan Shaqiri,Liverpool,Midfielder,13,5,2,1,0,0,7,11,6,5,0,0,0,0,0,More
Bobby Reid,Cardiff City,Midfielder,13,2,1,0,0,0,7,11,6,4,0,0,0,0,0,More
Charlie Austin,Southampton,Forward,13,2,0,0,0,0,7,11,6,7,0,0,1,0,0,More
 Joselu,Newcastle United,Forward,13,2,0,1,0,0,4,14,9,1,0,0,0,0,0,More
Ryan Bertrand,Southampton,Defender,12,1,0,5,0,0,12,0,0,0,0,0,0,0,0,More
Adam Smith,AFC Bournemouth,Defender,12,1,0,1,0,1,12,0,0,4,0,0,0,0,0,More
Maxime Le Marchand,Fulham,Defender,12,0,1,1,0,0,12,4,0,2,0,0,0,0,0,More
Joe Bennett,Cardiff City,Defender,12,0,1,1,0,0,12,5,0,1,0,0,0,0,0,More
Mesut Ozil,Arsenal,Midfielder,12,3,1,1,0,0,11,2,1,5,0,0,0,0,0,More
Dale Stephens,Brighton & Hove Albion,Midfielder,12,0,0,3,0,1,11,2,1,1,0,0,0,0,0,More
Bernd Leno,Arsenal,Goalkeeper,12,0,0,0,0,0,11,7,1,0,0,0,0,3,0,More
Paul Dummett,Newcastle United,Defender,12,0,0,0,0,0,11,2,1,0,0,0,0,0,0,More
John Stones,Manchester City,Defender,12,0,0,0,0,0,11,6,1,1,0,0,0,0,0,More
Calum Chambers,Fulham,Defender,12,0,0,2,0,0,10,4,2,1,0,0,0,0,0,More
Luciano Vietto,Fulham,Forward,12,0,4,1,0,0,8,8,4,6,0,0,0,0,0,More
Jordan Ayew,Crystal Palace,Forward,12,0,1,1,0,0,8,9,4,6,0,0,0,0,0,More
Cyrus Christie,Fulham,Defender,12,0,0,1,0,0,8,10,4,1,0,0,0,0,0,More
Juan Mata,Manchester United,Midfielder,12,2,2,1,0,0,7,9,5,5,0,0,0,0,0,More
Dan Gosling,AFC Bournemouth,Midfielder,12,0,0,3,0,0,6,7,6,1,0,0,0,0,0,More
Christian Atsu,Newcastle United,Midfielder,12,0,0,2,0,0,5,11,7,2,0,0,0,0,0,More
Junior Stanislas,AFC Bournemouth,Midfielder,12,1,1,1,0,0,4,8,8,4,1,0,0,0,0,More
Manolo Gabbiadini,Southampton,Forward,12,1,0,0,0,0,4,8,8,2,0,0,0,0,0,More
Stefan Johansen,Fulham,Forward,12,0,0,4,0,0,4,13,8,3,0,0,0,0,0,More
Morgan Gibbs-White,Wolverhampton Wanderers,Midfielder,12,0,1,1,0,0,2,14,10,2,0,0,0,0,0,More
Jurgen Locadia,Brighton & Hove Albion,Forward,12,0,0,1,0,0,2,15,10,2,0,0,0,0,0,More
